round,cooperation0,cooperation1,cooperation2,cooperation3,cooperation4,cooperation5,cooperation6,cooperation7,cooperation8,cooperation9,cooperation10,cooperation11,cooperation12,cooperation13,cooperation14,cooperation15,cooperation16,cooperation17,cooperation18,cooperation19,cooperation20,cooperation21,cooperation22,cooperation23,cooperation24,cooperation25,cooperation26,cooperation27,cooperation28,cooperation29,cooperation30,cooperation31,cooperation32,cooperation33,cooperation34,cooperation35,cooperation36,cooperation37,cooperation38,cooperation39,cooperation40,cooperation41,cooperation42,cooperation43,cooperation44,cooperation45,cooperation46,cooperation47,cooperation48,cooperation49,cooperation50,cooperation51,cooperation52,cooperation53,cooperation54,cooperation55,cooperation56,cooperation57,cooperation58,cooperation59,cooperation60,cooperation61,cooperation62,cooperation63,cooperation64,cooperation65,cooperation66,cooperation67,cooperation68,cooperation69,cooperation70,cooperation71,cooperation72,cooperation73,cooperation74,cooperation75,cooperation76,cooperation77,cooperation78,cooperation79,cooperation80,cooperation81,cooperation82,cooperation83,cooperation84,cooperation85,cooperation86,cooperation87,cooperation88,cooperation89,cooperation90,cooperation91,cooperation92,cooperation93,cooperation94,cooperation95,cooperation96,cooperation97,cooperation98,cooperation99,,min,max,average,stdev
0,0.5208,0.4861,0.4444,0.4583,0.5417,0.4444,0.5139,0.5347,0.4375,0.5417,0.4167,0.4653,0.4792,0.4167,0.4583,0.5208,0.5139,0.4583,0.4861,0.4444,0.5278,0.5139,0.5069,0.4653,0.4792,0.5069,0.4861,0.4306,0.4861,0.4444,0.4167,0.5278,0.4514,0.4792,0.5000,0.5347,0.5208,0.5208,0.3958,0.5208,0.4444,0.5139,0.4375,0.4444,0.4861,0.5069,0.5208,0.5833,0.5069,0.4861,0.5278,0.5278,0.3958,0.4444,0.5069,0.4861,0.4722,0.5417,0.5764,0.5208,0.4722,0.4792,0.4514,0.4583,0.4097,0.4931,0.4653,0.4722,0.5208,0.4306,0.4444,0.5000,0.5139,0.5347,0.5347,0.6042,0.4722,0.5139,0.4861,0.5556,0.5625,0.4722,0.4028,0.5208,0.4931,0.4375,0.4514,0.4514,0.4306,0.4931,0.5833,0.4861,0.5139,0.5069,0.4792,0.5694,0.5000,0.5833,0.4722,0.4167,,0.3958,0.6042,0.4887,0.0452
1,0.5000,0.4931,0.5139,0.5486,0.4306,0.4375,0.5208,0.4583,0.5000,0.5625,0.4167,0.4792,0.5208,0.5000,0.5000,0.4861,0.5000,0.3958,0.5208,0.4514,0.4861,0.5208,0.4028,0.4861,0.4514,0.5000,0.5069,0.5000,0.4583,0.4444,0.4236,0.4931,0.4444,0.4722,0.5000,0.4375,0.5278,0.5208,0.4722,0.5347,0.4514,0.4236,0.5486,0.4653,0.4306,0.4792,0.4097,0.4583,0.4583,0.5000,0.5208,0.4167,0.4097,0.4306,0.4931,0.5000,0.4583,0.4792,0.5069,0.5208,0.4653,0.3819,0.4167,0.4583,0.4722,0.5278,0.4375,0.5139,0.4722,0.4514,0.5208,0.4722,0.4792,0.5069,0.5208,0.5764,0.5347,0.4306,0.4444,0.5000,0.5278,0.4931,0.5000,0.4931,0.4444,0.4792,0.4306,0.4444,0.4097,0.4653,0.5278,0.4236,0.4722,0.4861,0.4931,0.5069,0.4306,0.5347,0.4236,0.4444,,0.3819,0.5764,0.4769,0.0409
2,0.5208,0.5347,0.4306,0.4931,0.4583,0.4583,0.5139,0.3958,0.4514,0.5069,0.5000,0.4792,0.4931,0.4306,0.5208,0.5208,0.4931,0.4375,0.4861,0.4167,0.5208,0.4583,0.4375,0.5000,0.4722,0.4653,0.4931,0.4583,0.5139,0.4583,0.4861,0.4583,0.5069,0.4306,0.4931,0.3889,0.4236,0.4583,0.4167,0.5694,0.4306,0.4375,0.5556,0.3403,0.4861,0.4722,0.4514,0.4236,0.4583,0.4514,0.4444,0.4306,0.4097,0.4583,0.4722,0.5139,0.4792,0.5000,0.4792,0.4653,0.4375,0.5000,0.4375,0.4792,0.4792,0.4722,0.4375,0.4375,0.5694,0.4514,0.4931,0.4167,0.4653,0.4583,0.4861,0.5208,0.4514,0.4236,0.5069,0.4375,0.5069,0.5139,0.5278,0.4861,0.4167,0.4653,0.4444,0.3611,0.4444,0.4653,0.5069,0.4861,0.4653,0.5000,0.4931,0.4583,0.4931,0.5625,0.4931,0.4167,,0.3403,0.5694,0.4698,0.0413
3,0.5000,0.4722,0.4583,0.4375,0.4583,0.4722,0.5417,0.3750,0.5208,0.4931,0.4931,0.4861,0.5347,0.4514,0.5208,0.4444,0.5347,0.4514,0.4583,0.4653,0.5278,0.4236,0.4583,0.4444,0.4028,0.4653,0.4653,0.4375,0.4444,0.4514,0.5486,0.5139,0.4792,0.5208,0.5278,0.3958,0.4444,0.5000,0.4167,0.4861,0.4097,0.4514,0.4583,0.4375,0.5208,0.4931,0.4653,0.5139,0.4097,0.4375,0.4444,0.5278,0.4375,0.4653,0.4514,0.5486,0.5000,0.5069,0.4653,0.4861,0.4583,0.4722,0.4514,0.4583,0.4236,0.4167,0.3611,0.4375,0.5417,0.4167,0.4931,0.3681,0.5069,0.5000,0.4583,0.5139,0.5000,0.4653,0.4792,0.4653,0.4236,0.4514,0.4931,0.5069,0.4653,0.5000,0.5486,0.4444,0.4583,0.4097,0.5278,0.4583,0.4653,0.5486,0.4583,0.4792,0.4792,0.5347,0.4653,0.5208,,0.3611,0.5486,0.4718,0.0419
4,0.5347,0.4028,0.4514,0.5069,0.5000,0.5000,0.4722,0.4722,0.5347,0.4653,0.4236,0.4444,0.5000,0.4444,0.5625,0.4931,0.4583,0.4167,0.4444,0.4583,0.5208,0.4444,0.5278,0.5208,0.4583,0.5764,0.5000,0.4931,0.3958,0.5000,0.5764,0.4444,0.4792,0.5347,0.4306,0.4306,0.5556,0.5000,0.3819,0.4861,0.4514,0.4097,0.4722,0.4514,0.5000,0.4931,0.3958,0.5556,0.3750,0.4306,0.4653,0.3889,0.4236,0.4861,0.4444,0.5972,0.5278,0.5000,0.4931,0.5000,0.3611,0.4236,0.5278,0.4097,0.4097,0.4583,0.4514,0.5069,0.5139,0.3819,0.4514,0.4653,0.4861,0.4792,0.4514,0.4792,0.4931,0.4167,0.3819,0.5069,0.3889,0.4792,0.5000,0.5417,0.5764,0.5208,0.4583,0.4444,0.4861,0.4861,0.4583,0.4653,0.4306,0.4861,0.4306,0.4931,0.4861,0.5486,0.4792,0.5347,,0.3611,0.5972,0.4735,0.0502
5,0.5069,0.4097,0.5486,0.5000,0.4931,0.4028,0.4653,0.4583,0.5278,0.4236,0.4931,0.4375,0.5278,0.4444,0.5417,0.3958,0.4861,0.3681,0.4861,0.4375,0.5000,0.5000,0.4097,0.4722,0.4861,0.5278,0.4931,0.4583,0.4792,0.4306,0.5208,0.4653,0.5069,0.5000,0.4861,0.4444,0.4583,0.4722,0.3750,0.4931,0.4444,0.4931,0.4514,0.4028,0.4028,0.5139,0.4444,0.5347,0.4167,0.4722,0.4236,0.4028,0.4514,0.4444,0.4583,0.5139,0.5000,0.5139,0.4306,0.4861,0.4375,0.4653,0.4097,0.4514,0.4236,0.4514,0.5208,0.4167,0.4792,0.3889,0.4444,0.4722,0.4653,0.4444,0.4444,0.5069,0.4722,0.5000,0.5069,0.5139,0.3958,0.4792,0.4792,0.4306,0.4931,0.4514,0.4792,0.4653,0.3958,0.4653,0.4653,0.4861,0.3750,0.3611,0.4375,0.4861,0.4722,0.5625,0.4653,0.5417,,0.3611,0.5625,0.4644,0.0434
6,0.5278,0.4306,0.5000,0.5903,0.4306,0.4444,0.4514,0.4653,0.5208,0.4792,0.4792,0.4514,0.4722,0.5000,0.4444,0.4167,0.4097,0.4375,0.4653,0.4375,0.5000,0.5139,0.4792,0.5069,0.5139,0.4514,0.5139,0.4306,0.5000,0.4792,0.4375,0.4931,0.4722,0.4514,0.4236,0.4097,0.5208,0.4444,0.3611,0.5347,0.4375,0.5069,0.4236,0.3611,0.4514,0.5000,0.4792,0.5417,0.4722,0.4931,0.5486,0.4306,0.4722,0.4375,0.4583,0.4861,0.5139,0.4583,0.4167,0.5000,0.4722,0.4097,0.4722,0.5000,0.3889,0.4236,0.4375,0.4653,0.4653,0.3611,0.4306,0.4236,0.4931,0.3958,0.4792,0.5000,0.3889,0.4375,0.5208,0.5417,0.4306,0.5000,0.4028,0.5139,0.4514,0.4375,0.4514,0.4653,0.3750,0.4722,0.5000,0.4375,0.4514,0.4028,0.4306,0.5278,0.4514,0.5417,0.4722,0.5208,,0.3611,0.5903,0.4642,0.0451
7,0.4653,0.4306,0.5694,0.4931,0.3403,0.4653,0.4583,0.4306,0.5347,0.5764,0.5764,0.5069,0.4236,0.4722,0.5278,0.4097,0.4514,0.4167,0.4514,0.4236,0.4931,0.4931,0.4583,0.4583,0.4792,0.5069,0.4861,0.4167,0.4583,0.4375,0.4236,0.5139,0.5139,0.5417,0.4375,0.4514,0.5208,0.4028,0.4167,0.5347,0.4792,0.5556,0.4097,0.4792,0.4028,0.4931,0.4792,0.4931,0.4028,0.5556,0.5556,0.5000,0.5417,0.3681,0.4792,0.3889,0.4653,0.4306,0.5347,0.4931,0.4167,0.4444,0.5139,0.5069,0.4236,0.4792,0.4931,0.4861,0.5347,0.4028,0.4583,0.4514,0.3958,0.4167,0.4653,0.5139,0.4167,0.4236,0.5000,0.4861,0.4444,0.4861,0.4028,0.5347,0.5208,0.4028,0.4792,0.4583,0.4097,0.4306,0.5278,0.4583,0.4306,0.4722,0.4444,0.5625,0.4861,0.5000,0.4653,0.4861,,0.3403,0.5764,0.4701,0.0498
8,0.4792,0.5069,0.4931,0.4028,0.4583,0.4306,0.5347,0.4514,0.4306,0.5694,0.5486,0.4444,0.5000,0.4306,0.5069,0.4861,0.4167,0.4236,0.4653,0.5694,0.4653,0.3889,0.4653,0.5903,0.4444,0.4792,0.5347,0.4167,0.4375,0.4097,0.4722,0.4931,0.4931,0.5000,0.4514,0.4167,0.4792,0.4375,0.4583,0.4583,0.4028,0.5069,0.4236,0.5556,0.4236,0.5347,0.4583,0.4375,0.4375,0.4931,0.4653,0.4097,0.5069,0.5069,0.4722,0.4653,0.4861,0.4306,0.4653,0.4514,0.5000,0.4236,0.5417,0.4792,0.5278,0.4653,0.4236,0.4861,0.5486,0.4306,0.4306,0.5417,0.4306,0.3750,0.4306,0.4861,0.4653,0.4583,0.5278,0.4444,0.4375,0.4653,0.4861,0.5556,0.4583,0.4375,0.5139,0.4167,0.4236,0.4236,0.4931,0.4861,0.5208,0.4236,0.4931,0.5625,0.4861,0.5000,0.4583,0.5000,,0.3750,0.5903,0.4713,0.0454
9,0.4653,0.4861,0.4722,0.5000,0.4444,0.4375,0.5069,0.4583,0.4375,0.5625,0.5278,0.4444,0.5000,0.4236,0.5347,0.5417,0.3958,0.3750,0.4861,0.5556,0.5347,0.4444,0.5625,0.5139,0.4653,0.5417,0.4792,0.4722,0.5000,0.3958,0.3958,0.4306,0.5486,0.4861,0.5625,0.4931,0.4653,0.4792,0.4514,0.4444,0.4792,0.5417,0.4167,0.5486,0.5000,0.5486,0.5000,0.3750,0.4514,0.5139,0.5139,0.3958,0.4514,0.5417,0.4931,0.5486,0.4792,0.4722,0.5069,0.4167,0.4028,0.4653,0.5208,0.5278,0.5625,0.4931,0.4653,0.4861,0.5278,0.4236,0.4028,0.5278,0.4444,0.3681,0.5000,0.5000,0.4653,0.4167,0.4444,0.4583,0.4375,0.4444,0.5000,0.4931,0.5625,0.4583,0.5069,0.4722,0.5278,0.4236,0.5278,0.4861,0.4236,0.4167,0.4514,0.5347,0.4653,0.4653,0.3889,0.4931,,0.3681,0.5625,0.4780,0.0495
10,0.4722,0.4722,0.5069,0.4861,0.5278,0.5347,0.5069,0.4375,0.5139,0.5069,0.5000,0.4514,0.4375,0.4653,0.5000,0.4861,0.5139,0.4306,0.4306,0.5347,0.4931,0.5000,0.5069,0.5347,0.4653,0.4722,0.4792,0.4306,0.4653,0.4861,0.4236,0.4653,0.4583,0.4028,0.5000,0.4097,0.4444,0.5208,0.4583,0.4583,0.4097,0.4722,0.4653,0.4375,0.5347,0.5139,0.4514,0.4722,0.4236,0.5208,0.4931,0.4167,0.4306,0.4653,0.4792,0.6250,0.5278,0.5208,0.4861,0.5208,0.4861,0.4722,0.5833,0.4792,0.5000,0.5278,0.5417,0.5625,0.4653,0.4167,0.4722,0.5000,0.4514,0.3889,0.4861,0.4306,0.5486,0.5556,0.4653,0.4514,0.4375,0.5208,0.4167,0.3889,0.5278,0.5208,0.4722,0.4583,0.4444,0.4167,0.5278,0.5208,0.3819,0.4097,0.4375,0.4583,0.4167,0.5000,0.4375,0.4097,,0.3819,0.6250,0.4765,0.0458
11,0.4722,0.4792,0.5278,0.4861,0.4722,0.3750,0.4514,0.4653,0.5069,0.4861,0.4722,0.4097,0.4375,0.4306,0.4514,0.5278,0.4375,0.3958,0.4167,0.5139,0.4444,0.4514,0.4306,0.4375,0.4722,0.4306,0.5278,0.4861,0.4236,0.4514,0.4861,0.4444,0.3889,0.4583,0.4514,0.4583,0.4792,0.4514,0.4306,0.4722,0.4514,0.4375,0.3958,0.5417,0.5000,0.5486,0.4861,0.4722,0.5000,0.5417,0.5486,0.4722,0.4306,0.5139,0.4583,0.5486,0.4792,0.5347,0.5069,0.5139,0.4306,0.5139,0.5278,0.5347,0.5139,0.4653,0.5278,0.5347,0.3958,0.4653,0.5625,0.5000,0.5069,0.4444,0.4167,0.3958,0.4514,0.5833,0.4722,0.3889,0.4653,0.4792,0.4653,0.4236,0.5833,0.4861,0.4514,0.4653,0.4236,0.5208,0.5764,0.4931,0.3958,0.5000,0.4583,0.4375,0.4514,0.4375,0.4514,0.4583,,0.3750,0.5833,0.4723,0.0464
12,0.4722,0.4375,0.5139,0.4931,0.4375,0.4097,0.4653,0.4444,0.4722,0.4722,0.4583,0.4306,0.3750,0.5139,0.3958,0.4375,0.4028,0.4028,0.4444,0.4514,0.4792,0.4167,0.4028,0.3750,0.4722,0.4167,0.5347,0.5486,0.4236,0.4653,0.4514,0.4236,0.4444,0.5278,0.4514,0.4931,0.4236,0.4306,0.4931,0.4722,0.5208,0.4514,0.4653,0.5625,0.4444,0.4931,0.4861,0.4653,0.5417,0.4722,0.4792,0.4861,0.5208,0.5486,0.4722,0.4514,0.5000,0.4583,0.5000,0.4861,0.4514,0.4583,0.4861,0.5000,0.4861,0.4722,0.4861,0.4861,0.4861,0.4583,0.5069,0.3958,0.5069,0.4792,0.4306,0.4444,0.4236,0.4653,0.4583,0.3958,0.4792,0.4583,0.3472,0.4861,0.6111,0.4792,0.5139,0.5069,0.4444,0.5069,0.5278,0.5000,0.4792,0.4931,0.4514,0.4375,0.5000,0.5000,0.3889,0.5208,,0.3472,0.6111,0.4679,0.0438
13,0.5347,0.4097,0.4653,0.4375,0.3681,0.4653,0.5556,0.4792,0.4306,0.4931,0.4722,0.5000,0.4444,0.5347,0.4861,0.4653,0.4722,0.4444,0.5069,0.4306,0.5278,0.4931,0.4167,0.3819,0.4861,0.5069,0.5625,0.4792,0.4236,0.4653,0.4931,0.4236,0.5069,0.5486,0.4792,0.5139,0.4931,0.4236,0.4931,0.4375,0.5139,0.4861,0.4583,0.4931,0.4444,0.5139,0.4653,0.5139,0.5139,0.4931,0.5069,0.4444,0.6181,0.5347,0.5208,0.4167,0.4861,0.4444,0.4861,0.4167,0.4653,0.4306,0.5000,0.4375,0.4514,0.4861,0.5069,0.4444,0.3681,0.4653,0.4028,0.4306,0.4653,0.5000,0.3958,0.5000,0.4514,0.4514,0.4583,0.4931,0.4514,0.4792,0.4236,0.4653,0.5208,0.4306,0.5208,0.4375,0.4583,0.4583,0.4444,0.4236,0.4583,0.4514,0.5208,0.4653,0.4444,0.5208,0.4514,0.5139,,0.3681,0.6181,0.4717,0.0429
14,0.4514,0.4097,0.4514,0.4236,0.4583,0.3750,0.4306,0.4375,0.3889,0.4861,0.5000,0.4722,0.4583,0.5417,0.5069,0.4583,0.4792,0.4514,0.4514,0.4583,0.4514,0.4653,0.3750,0.3819,0.4306,0.5417,0.5278,0.4792,0.4722,0.4444,0.5000,0.3889,0.4722,0.5486,0.4375,0.4306,0.5278,0.4167,0.5000,0.4931,0.4583,0.5069,0.4167,0.5347,0.4792,0.5347,0.4583,0.5139,0.5347,0.4653,0.4375,0.4653,0.4931,0.4514,0.4444,0.4375,0.5556,0.4028,0.4375,0.3472,0.4097,0.4444,0.3958,0.4861,0.5000,0.4792,0.4097,0.4861,0.3819,0.3958,0.4028,0.4653,0.4375,0.4722,0.5069,0.4792,0.4167,0.3958,0.4653,0.4931,0.4236,0.4653,0.4583,0.4514,0.4514,0.4653,0.4236,0.4167,0.4028,0.4722,0.5000,0.4306,0.4861,0.4444,0.4931,0.4722,0.4583,0.4306,0.4653,0.4792,,0.3472,0.5556,0.4576,0.0430
15,0.4861,0.4444,0.4722,0.3958,0.4792,0.4653,0.4792,0.4236,0.4167,0.5139,0.4306,0.5139,0.4792,0.5903,0.4167,0.4583,0.5278,0.4375,0.4514,0.5000,0.4861,0.4514,0.4514,0.3819,0.4653,0.5139,0.4514,0.4514,0.4861,0.4514,0.4722,0.3958,0.4514,0.4236,0.4306,0.4722,0.5486,0.3958,0.4722,0.4792,0.4931,0.4653,0.4444,0.5417,0.4444,0.4931,0.4375,0.4792,0.4583,0.4444,0.4583,0.4583,0.4236,0.6042,0.5347,0.4444,0.5139,0.4653,0.3958,0.4444,0.4653,0.4792,0.4722,0.4722,0.4167,0.5417,0.3819,0.4236,0.4028,0.4792,0.3958,0.5278,0.5556,0.4722,0.4722,0.4375,0.5000,0.4028,0.4583,0.4375,0.3889,0.5139,0.5000,0.4444,0.4653,0.6042,0.4931,0.4097,0.4028,0.4583,0.5139,0.4375,0.4653,0.5000,0.5417,0.4722,0.4792,0.3611,0.4861,0.5069,,0.3611,0.6042,0.4660,0.0472
16,0.5278,0.4514,0.4722,0.4306,0.4514,0.5833,0.4792,0.4375,0.4375,0.5347,0.4861,0.5625,0.4514,0.5417,0.4375,0.4583,0.4792,0.4236,0.5486,0.5208,0.5139,0.4028,0.4931,0.4097,0.4444,0.4306,0.4792,0.4028,0.4514,0.5069,0.5069,0.5069,0.4722,0.4653,0.3750,0.4792,0.5139,0.4722,0.5069,0.5347,0.4514,0.4306,0.4236,0.5278,0.4861,0.5000,0.4792,0.5347,0.5000,0.4514,0.5000,0.4931,0.4861,0.4653,0.5069,0.3889,0.5208,0.5347,0.4722,0.4861,0.4931,0.4861,0.4931,0.4931,0.3958,0.4792,0.3333,0.4861,0.3958,0.4861,0.4514,0.4722,0.4444,0.4653,0.4722,0.4236,0.5000,0.4514,0.4792,0.4167,0.4583,0.5069,0.4792,0.4792,0.4861,0.5486,0.4236,0.4444,0.4097,0.4792,0.4792,0.4375,0.5000,0.5347,0.5347,0.4236,0.5000,0.4722,0.4444,0.5625,,0.3333,0.5833,0.4744,0.0444
17,0.4097,0.5208,0.4306,0.5069,0.4514,0.4861,0.4792,0.3681,0.5139,0.5625,0.5139,0.4931,0.4722,0.5139,0.3889,0.4028,0.5208,0.4792,0.5139,0.5278,0.5694,0.4167,0.3611,0.4583,0.5069,0.4514,0.5000,0.4861,0.4653,0.4653,0.5417,0.5278,0.4653,0.4375,0.5069,0.4861,0.4306,0.4444,0.5208,0.5694,0.5069,0.5278,0.4653,0.4236,0.5000,0.4514,0.4514,0.5208,0.5417,0.4097,0.5764,0.5208,0.4722,0.4444,0.4861,0.4444,0.4722,0.5208,0.4583,0.4792,0.5069,0.4792,0.5000,0.5000,0.4236,0.4931,0.4792,0.5347,0.4097,0.5486,0.4514,0.4931,0.6389,0.3958,0.5069,0.4375,0.4792,0.4167,0.4583,0.4861,0.5347,0.5139,0.5347,0.4514,0.4931,0.5972,0.4583,0.5208,0.5417,0.4514,0.4931,0.3958,0.5556,0.5347,0.5278,0.3889,0.4931,0.5139,0.4514,0.5972,,0.3611,0.6389,0.4853,0.0517
18,0.4653,0.4653,0.5208,0.5069,0.4236,0.4861,0.4722,0.3611,0.5069,0.4792,0.5139,0.4722,0.4792,0.5278,0.4375,0.4306,0.5417,0.5069,0.4792,0.4931,0.4792,0.4653,0.3333,0.4375,0.4444,0.4514,0.4722,0.5417,0.4722,0.4514,0.4653,0.4931,0.4792,0.4861,0.4514,0.5000,0.4236,0.5417,0.4722,0.4583,0.4236,0.4931,0.4375,0.5139,0.5000,0.5000,0.4167,0.4861,0.5139,0.4444,0.5625,0.5069,0.4653,0.5069,0.4375,0.4236,0.4653,0.5347,0.5347,0.5069,0.5556,0.5347,0.4722,0.5486,0.4931,0.4792,0.4792,0.5000,0.4375,0.4931,0.5556,0.5208,0.5000,0.3819,0.4514,0.4375,0.4514,0.4375,0.4514,0.5139,0.5417,0.4792,0.5139,0.4444,0.5000,0.4792,0.4653,0.5486,0.5208,0.4722,0.4931,0.4306,0.4792,0.5556,0.5000,0.4167,0.4931,0.4514,0.5139,0.5417,,0.3333,0.5625,0.4810,0.0426
19,0.4514,0.4722,0.5764,0.4653,0.4792,0.4375,0.4444,0.3958,0.4792,0.5000,0.4028,0.4722,0.4375,0.4097,0.4583,0.4097,0.5625,0.4375,0.5208,0.4306,0.4931,0.4236,0.3611,0.4931,0.3889,0.5139,0.4444,0.4375,0.4306,0.4444,0.4236,0.4653,0.4653,0.5139,0.4931,0.4792,0.4167,0.5000,0.4931,0.4444,0.4514,0.4653,0.3958,0.4444,0.4514,0.4792,0.3889,0.5208,0.4792,0.4097,0.4792,0.3819,0.4861,0.5000,0.4444,0.5069,0.4097,0.4028,0.4306,0.4444,0.4861,0.4931,0.5347,0.5278,0.4028,0.5139,0.5139,0.4653,0.4653,0.5486,0.5347,0.5069,0.5208,0.3889,0.4792,0.4167,0.5347,0.4722,0.4375,0.4514,0.5000,0.4792,0.5625,0.4653,0.4861,0.5278,0.4653,0.5556,0.5069,0.5486,0.4236,0.4236,0.4583,0.5625,0.4931,0.4861,0.4028,0.5486,0.5486,0.5278,,0.3611,0.5764,0.4701,0.0485
20,0.4444,0.5000,0.5278,0.4583,0.4861,0.4722,0.4583,0.4583,0.4236,0.4722,0.4792,0.5139,0.4236,0.4306,0.3819,0.4306,0.4514,0.4167,0.5486,0.4514,0.4653,0.4861,0.4653,0.4514,0.3958,0.4306,0.3542,0.4028,0.4097,0.4236,0.4792,0.5417,0.4653,0.4097,0.5069,0.4514,0.4097,0.4236,0.4792,0.4097,0.4236,0.4653,0.4792,0.4861,0.4514,0.5069,0.4861,0.5278,0.5208,0.4931,0.5347,0.4444,0.4722,0.4861,0.5000,0.5278,0.4306,0.4375,0.4722,0.5000,0.4931,0.4375,0.5139,0.5000,0.4028,0.4931,0.5694,0.4097,0.4583,0.5069,0.4792,0.4236,0.5764,0.5417,0.5069,0.4097,0.4653,0.4514,0.3958,0.4514,0.4236,0.5208,0.5347,0.4375,0.4792,0.4583,0.5069,0.5278,0.4861,0.4861,0.4167,0.4583,0.4514,0.5208,0.5069,0.4583,0.4097,0.5694,0.5208,0.4792,,0.3542,0.5764,0.4687,0.0451
21,0.4236,0.4931,0.5208,0.4444,0.4097,0.4861,0.4444,0.4583,0.4514,0.4306,0.4722,0.4861,0.3472,0.4653,0.4097,0.5139,0.4028,0.4583,0.4931,0.4861,0.4583,0.4931,0.4931,0.4653,0.4514,0.4931,0.4514,0.4583,0.4097,0.5139,0.5139,0.5556,0.4236,0.4444,0.5208,0.3958,0.4861,0.4236,0.3611,0.4028,0.4028,0.4792,0.4375,0.4722,0.4583,0.5069,0.5069,0.5625,0.4097,0.4861,0.5139,0.4653,0.4792,0.4792,0.4514,0.4722,0.4583,0.4861,0.4444,0.4097,0.4931,0.4514,0.4722,0.4236,0.5069,0.4792,0.5694,0.4375,0.5000,0.5139,0.4653,0.4583,0.5694,0.5139,0.5069,0.4722,0.5069,0.5139,0.4514,0.3958,0.4514,0.4861,0.5625,0.4375,0.4514,0.4653,0.4722,0.4792,0.4861,0.5069,0.4722,0.4931,0.4306,0.4236,0.4444,0.4514,0.4444,0.5278,0.4792,0.4444,,0.3472,0.5694,0.4681,0.0422
